Article URL,Nome do artigo,Categoria,Campanha,Data,Visitas Diretas,Novos usuários únicos,Clicks pagos,Tempo de leitura (minutos),Clicks redes sociais,Vezes pesquisados,Visualizações
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/19/2021, 64 , 102 , 0 , 927 , 166 , 29 , 392 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/20/2021, 11 , 17 , 0 , 170 , 28 , 5 , 59 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/21/2021, 179 , 287 , 0 , 2.522 , 466 , 81 , 909 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/22/2021, 1.240 , 1.984 , 0 , 10.390 , 3.224 , 558 , 6.212 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/23/2021, 53 , 84 , 0 , 570 , 137 , 24 , 353 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/24/2021, 123 , 197 , 0 , 1.440 , 320 , 55 , 628 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/25/2021, 40 , 63 , 0 , 483 , 103 , 18 , 228 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/26/2021, 32 , 52 , 0 , 295 , 84 , 15 , 240 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/27/2021, 19 , 31 , 0 , 359 , 50 , 9 , 119 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/28/2021, 61 , 98 , 0 , 648 , 159 , 27 , 375 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/29/2021, 31 , 49 , 0 , 465 , 80 , 14 , 224 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,06/30/2021, 42 , 67 , 0 , 320 , 109 , 19 , 241 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/01/2021, 14 , 22 , 0 , 261 , 36 , 6 , 119 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/02/2021, 22 , 36 , 0 , 623 , 58 , 10 , 162 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/03/2021, 49 , 78 , 0 , 532 , 127 , 22 , 276 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/04/2021, 32 , 52 , 0 , 825 , 84 , 15 , 207 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/06/2021, 35 , 56 , 0 , 667 , 90 , 16 , 200 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/07/2021, 4 , 6 , 0 , 307 , 9 , 2 , 94 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/08/2021, 128 , 205 , 0 , 660 , 333 , 58 , 655 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/09/2021, 12 , 19 , 0 , 116 , 31 , 5 , 90 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/10/2021, 88 , 141 , 0 , 888 , 229 , 40 , 491 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/11/2021, 28 , 44 , 0 , 247 , 72 , 12 , 141 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/12/2021, 17 , 28 , 0 , 404 , 45 , 8 , 111 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/13/2021, 12 , 19 , 0 , 351 , 31 , 5 , 92 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/14/2021, 180 , 288 , 0 , 3.166 , 468 , 81 , 964 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/15/2021, 90 , 143 , 0 , 1.826 , 233 , 40 , 466 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/16/2021, 100 , 160 , 0 , 2.080 , 260 , 45 , 550 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/17/2021, 58 , 92 , 0 , 485 , 150 , 26 , 372 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/18/2021, 15 , 24 , 0 , 181 , 38 , 7 , 155 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/19/2021, 74 , 119 , 0 , 864 , 193 , 33 , 428 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/20/2021, 22 , 35 , 0 , 441 , 57 , 10 , 186 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/21/2021, 178 , 284 , 0 , 1.971 , 462 , 80 , 955 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/22/2021, 154 , 246 , 0 , 3.213 , 399 , 69 , 833 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/23/2021, 10 , 15 , 0 , 177 , 25 , 4 , 71 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/24/2021, 39 , 62 , 0 , 558 , 101 , 18 , 224 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/25/2021, 159 , 254 , 0 , 1.629 , 412 , 71 , 800 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/27/2021, 82 , 131 , 0 , 1.115 , 212 , 37 , 431 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/28/2021, 41 , 65 , 0 , 962 , 106 , 18 , 284 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/29/2021, 4 , 6 , 0 , 88 , 10 , 2 , 38 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/30/2021, 156 , 250 , 0 , 2.360 , 406 , 70 , 836 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,07/31/2021, 25 , 40 , 0 , 237 , 66 , 11 , 179 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/01/2021, 125 , 200 , 0 , 1.159 , 324 , 56 , 704 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/02/2021, 224 , 358 , 0 , 2.707 , 582 , 101 , 1.142 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/03/2021, 7 , 11 , 0 , 129 , 18 , 3 , 124 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/04/2021, 31 , 49 , 0 , 213 , 80 , 14 , 202 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/07/2021, 2 , 4 , 0 , 199 , 6 , 1 , 72 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/08/2021, 21 , 34 , 0 , 326 , 55 , 9 , 185 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/09/2021, 13 , 21 , 0 , 353 , 34 , 6 , 132 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/10/2021, 83 , 132 , 0 , 1.156 , 215 , 37 , 439 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/11/2021, 272 , 435 , 0 , 4.797 , 707 , 122 , 1.387 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/12/2021, 29 , 47 , 0 , 709 , 76 , 13 , 230 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/13/2021, 10 , 16 , 0 , 252 , 26 , 5 , 72 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/14/2021, 16 , 26 , 0 , 242 , 42 , 7 , 105 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/15/2021, 16 , 26 , 0 , 430 , 43 , 7 , 123 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/16/2021, 34 , 54 , 0 , 447 , 88 , 15 , 252 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/17/2021, 80 , 128 , 0 , 405 , 208 , 36 , 403 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/18/2021, 26 , 42 , 0 , 214 , 68 , 12 , 182 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/19/2021, 266 , 425 , 0 , 1.495 , 691 , 120 , 1.410 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/20/2021, 6 , 10 , 0 , 84 , 17 , 3 , 45 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/21/2021, 12 , 19 , 0 , 491 , 31 , 5 , 129 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/22/2021, 25 , 40 , 0 , 495 , 64 , 11 , 134 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/23/2021, 24 , 38 , 0 , 149 , 62 , 11 , 142 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/24/2021, 78 , 125 , 0 , 1.529 , 203 , 35 , 406 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/25/2021, 67 , 108 , 0 , 1.033 , 175 , 30 , 400 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/26/2021, 16 , 25 , 0 , 493 , 41 , 7 , 150 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/27/2021, 192 , 307 , 0 , 1.635 , 499 , 86 , 1.029 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/28/2021, 0 , 0 , 0 , 23 , 0 , 0 , 11 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/29/2021, 300 , 480 , 0 , 5.332 , 780 , 135 , 1.566 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/30/2021, 15 , 25 , 0 , 351 , 40 , 7 , 113 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,08/31/2021, 5 , 9 , 0 , 222 , 14 , 2 , 109 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/01/2021, 24.482 , 39.171 , 0 , 416.057 , 63.653 , 11.017 , 122.476 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/02/2021, 13.354 , 21.366 , 0 , 237.410 , 34.719 , 6.009 , 66.853 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/03/2021, 625 , 1.001 , 0 , 8.777 , 1.626 , 281 , 3.187 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/04/2021, 122 , 195 , 0 , 1.701 , 316 , 55 , 686 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/05/2021, 6 , 10 , 0 , 311 , 16 , 3 , 86 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/06/2021, 128 , 205 , 0 , 1.157 , 333 , 58 , 736 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/07/2021, 90 , 144 , 0 , 1.925 , 234 , 41 , 521 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/08/2021, 28 , 45 , 0 , 461 , 73 , 13 , 205 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/09/2021, 0 , 0 , 0 , 45 , 0 , 0 , 17 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/10/2021, 7 , 12 , 0 , 376 , 19 , 3 , 115 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/11/2021, 37 , 59 , 0 , 612 , 96 , 17 , 191 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/12/2021, 40 , 64 , 0 , 912 , 104 , 18 , 237 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/13/2021, 109 , 174 , 0 , 967 , 283 , 49 , 601 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/14/2021, 9 , 14 , 0 , 306 , 23 , 4 , 89 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/15/2021, 6 , 10 , 0 , 112 , 16 , 3 , 41 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/16/2021, 43 , 69 , 0 , 772 , 112 , 19 , 221 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/17/2021, 46 , 73 , 0 , 385 , 119 , 21 , 257 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/18/2021, 17 , 27 , 0 , 226 , 44 , 8 , 99 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/21/2021, 6 , 10 , 0 , 301 , 16 , 3 , 102 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/22/2021, 5 , 8 , 0 , 203 , 12 , 2 , 122 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/25/2021, 17 , 27 , 0 , 275 , 44 , 8 , 91 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/27/2021, 52 , 83 , 0 , 473 , 135 , 23 , 337 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/28/2021, 0 , 0 , 0 , 183 , 0 , 0 , 66 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,09/30/2021, 19 , 31 , 0 , 311 , 50 , 9 , 104 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/01/2021, 8 , 13 , 0 , 183 , 22 , 4 , 110 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/03/2021, 6 , 10 , 0 , 204 , 16 , 3 , 111 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/04/2021, 59 , 94 , 0 , 985 , 153 , 27 , 367 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/05/2021, 3 , 4 , 0 , 216 , 7 , 1 , 109 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/07/2021, 12 , 20 , 0 , 392 , 32 , 6 , 110 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/12/2021, 14 , 22 , 0 , 279 , 36 , 6 , 155 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/13/2021, 5 , 9 , 0 , 376 , 14 , 2 , 123 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/16/2021, 14 , 22 , 0 , 661 , 36 , 6 , 167 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/18/2021, 76 , 122 , 0 , 776 , 198 , 34 , 432 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/19/2021, 0 , 0 , 0 , 96 , 0 , 0 , 27 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/20/2021, 31 , 50 , 0 , 767 , 81 , 14 , 207 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/21/2021, 28 , 45 , 0 , 394 , 74 , 13 , 159 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/23/2021, 3 , 4 , 0 , 151 , 7 , 1 , 68 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/24/2021, 98 , 157 , 0 , 1.556 , 255 , 44 , 588 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/25/2021, 4 , 7 , 0 , 136 , 11 , 2 , 87 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/28/2021, 62 , 99 , 0 , 1.528 , 161 , 28 , 406 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/29/2021, 25 , 40 , 0 , 311 , 66 , 11 , 166 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,10/31/2021, 0 , 0 , 0 , 110 , 0 , 0 , 96 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/01/2021, 10 , 16 , 0 , 250 , 27 , 5 , 80 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/02/2021, 9 , 15 , 0 , 216 , 24 , 4 , 122 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/04/2021, 24 , 38 , 0 , 175 , 62 , 11 , 137 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/05/2021, 4 , 7 , 0 , 272 , 11 , 2 , 92 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/06/2021, 0 , 0 , 0 , 57 , 0 , 0 , 21 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/07/2021, 3 , 5 , 0 , 85 , 9 , 2 , 77 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/08/2021, 16 , 25 , 0 , 265 , 41 , 7 , 127 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/09/2021, 46 , 73 , 0 , 493 , 119 , 21 , 309 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/10/2021, 36 , 58 , 0 , 709 , 94 , 16 , 260 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/19/2021, 0 , 0 , 0 , 159 , 0 , 0 , 80 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/21/2021, 56 , 90 , 0 , 1.010 , 146 , 25 , 318 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/22/2021, 12 , 19 , 0 , 508 , 31 , 5 , 144 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/29/2021, 15 , 25 , 0 , 188 , 40 , 7 , 77 
Article_16,Visualização Dive Deep Dive: Mudança ao longo do tempo,Data Science,1047,11/30/2021, 0 , 0 , 0 , 3 , 0 , 0 , 2 
Article_160,Como usar o feedback para acelerar o crescimento da carreira,Gestão,1047,07/11/2021, 5 , 8 , 0 , 89 , 12 , 2 , 26 
Article_161,Como a tecnologia está ajudando a envolver os visualizadores de vídeo inquietos de hoje,Tecnologia,1047,08/18/2021, 12 , 19 , 0 , 232 , 31 , 5 , 160 
Article_162,Quão importante é a compaixão no local de trabalho?,Gestão,1047,08/27/2021, 28 , 45 , 0 , 694 , 73 , 13 , 196 
Article_163,Principais habilidades da força de trabalho,Gestão,1047,07/14/2021, 0 , 0 , 0 , 170 , 0 , 0 , 55 
Article_164,Plano B: Quando você não pode mais se auto-financiar sua start-up,Negócios,1047,07/21/2021, 18 , 29 , 0 , 174 , 47 , 8 , 128 
Article_165,O que vem a seguir: VR & AR,Tecnologia,1047,09/01/2021, 32 , 51 , 0 , 586 , 83 , 14 , 179 
Article_166,Escolhendo os parceiros de tecnologia certos,Tecnologia,1047,10/19/2021, 3 , 5 , 0 , 184 , 9 , 2 , 63 
Article_167,Design Thinking Best Practices,Gestão,1047,10/30/2021, 184 , 294 , 0 , 2.554 , 478 , 83 , 932 
Article_168,Repensando e prevendo o futuro da publicidade por e -mail,Marketing,1047,11/25/2021, 11 , 17 , 0 , 177 , 28 , 5 , 69 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/02/2021, 24 , 38 , 0 , 459 , 62 , 11 , 125 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/07/2021, 186 , 297 , 0 , 2.064 , 483 , 84 , 1.004 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/08/2021, 15.870 , 25.393 , 0 , 311.887 , 41.263 , 7.142 , 79.406 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/09/2021, 8 , 12 , 0 , 441 , 20 , 4 , 138 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/10/2021, 120 , 193 , 0 , 1.237 , 313 , 54 , 662 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/11/2021, 0 , 0 , 0 , 199 , 0 , 0 , 64 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/12/2021, 46 , 74 , 0 , 722 , 120 , 21 , 297 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/13/2021, 4 , 6 , 0 , 172 , 10 , 2 , 105 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/14/2021, 31 , 49 , 0 , 917 , 80 , 14 , 235 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/15/2021, 446 , 714 , 0 , 4.124 , 1.161 , 201 , 2.251 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/16/2021, 459 , 734 , 0 , 6.645 , 1.193 , 206 , 2.305 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/17/2021, 449 , 718 , 0 , 6.176 , 1.167 , 202 , 2.300 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/18/2021, 911 , 1.457 , 0 , 16.388 , 2.368 , 410 , 4.580 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/19/2021, 36 , 58 , 0 , 388 , 95 , 16 , 206 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/20/2021, 240 , 384 , 0 , 4.506 , 624 , 108 , 1.235 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/21/2021, 50 , 81 , 0 , 1.217 , 131 , 23 , 305 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/22/2021, 616 , 985 , 0 , 8.912 , 1.601 , 277 , 3.148 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/23/2021, 38 , 60 , 0 , 646 , 98 , 17 , 277 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/24/2021, 12 , 19 , 0 , 267 , 31 , 5 , 85 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/25/2021, 22 , 36 , 0 , 212 , 58 , 10 , 190 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/26/2021, 1.039 , 1.662 , 0 , 19.984 , 2.701 , 467 , 5.205 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/27/2021, 95 , 152 , 0 , 1.984 , 248 , 43 , 520 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/28/2021, 93 , 148 , 0 , 626 , 241 , 42 , 496 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/29/2021, 223 , 357 , 0 , 1.954 , 580 , 100 , 1.152 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,06/30/2021, 65 , 104 , 0 , 782 , 168 , 29 , 374 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/01/2021, 74 , 118 , 0 , 870 , 192 , 33 , 430 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/02/2021, 30 , 49 , 0 , 228 , 79 , 14 , 166 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/03/2021, 14 , 22 , 0 , 121 , 35 , 6 , 74 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/04/2021, 49 , 79 , 0 , 375 , 128 , 22 , 299 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/05/2021, 102 , 163 , 0 , 791 , 265 , 46 , 565 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/06/2021, 679 , 1.086 , 0 , 6.199 , 1.765 , 306 , 3.481 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/07/2021, 78 , 125 , 0 , 1.593 , 203 , 35 , 419 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/08/2021, 296 , 474 , 0 , 3.605 , 771 , 133 , 1.537 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/09/2021, 119 , 190 , 0 , 2.007 , 309 , 53 , 655 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/10/2021, 91 , 146 , 0 , 1.166 , 237 , 41 , 510 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/11/2021, 113 , 181 , 0 , 2.168 , 295 , 51 , 588 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/12/2021, 76 , 121 , 0 , 586 , 197 , 34 , 417 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/13/2021, 88 , 141 , 0 , 1.978 , 229 , 40 , 534 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/14/2021, 130 , 208 , 0 , 825 , 339 , 59 , 718 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/15/2021, 12 , 19 , 0 , 120 , 31 , 5 , 69 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/16/2021, 17 , 28 , 0 , 364 , 45 , 8 , 187 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/17/2021, 48 , 77 , 0 , 679 , 126 , 22 , 244 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/18/2021, 18 , 29 , 0 , 310 , 47 , 8 , 150 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/19/2021, 101 , 161 , 0 , 1.019 , 262 , 45 , 552 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/20/2021, 60 , 96 , 0 , 446 , 156 , 27 , 395 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/21/2021, 9 , 14 , 0 , 138 , 23 , 4 , 114 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/22/2021, 30 , 47 , 0 , 350 , 77 , 13 , 213 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/23/2021, 33 , 53 , 0 , 549 , 86 , 15 , 237 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/24/2021, 3 , 5 , 0 , 143 , 8 , 1 , 92 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/25/2021, 300 , 480 , 0 , 3.722 , 780 , 135 , 1.563 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/26/2021, 22 , 36 , 0 , 299 , 58 , 10 , 144 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/27/2021, 83 , 133 , 0 , 1.249 , 216 , 37 , 487 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/28/2021, 26 , 42 , 0 , 441 , 69 , 12 , 193 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/29/2021, 101 , 161 , 0 , 1.803 , 262 , 45 , 568 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/30/2021, 6 , 9 , 0 , 256 , 15 , 3 , 93 
Article_17,As idéias o deixam se você não as usar?,Gestão,1047,07/31/2021, 16 , 25 , 0 , 455 , 41 , 7 , 164 
